agg,int,catr,circ,nbv,vosp,prof,plan,lartpc,larrout,infra,situ,obs,indemne,tue,hospitalisé,blessé,nb_acc
1,1,2.0,1.0,0.0,0.0,2.0,0.0,20.0,70.0,2.0,2.0,13.0,0,0,1,0,1
1,1,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,3.0,7.0,0,0,0,1,1
1,1,2.0,1.0,0.0,0.0,2.0,1.0,50.0,70.0,0.0,1.0,0.0,1,1,0,0,2
1,1,2.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,2,0,0,1,3
1,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0,0,0,1,1
1,1,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0,0,0,2,2
1,1,2.0,1.0,1.0,0.0,0.0,1.0,20.0,70.0,3.0,3.0,3.0,0,0,1,0,1
1,1,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1,0,0,1,2
1,1,2.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,8.0,0,1,0,0,1
1,1,2.0,1.0,1.0,0.0,0.0,3.0,0.0,45.0,3.0,0.0,8.0,0,0,1,0,1
1,1,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,3,0,0,2,5
1,1,2.0,1.0,1.0,0.0,1.0,1.0,0.0,35.0,3.0,1.0,0.0,5,0,0,1,6
1,1,2.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,1.0,0.0,2,0,0,1,3
1,1,2.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,8.0,0,0,1,0,1
1,1,2.0,1.0,1.0,0.0,1.0,3.0,0.0,30.0,3.0,1.0,0.0,0,0,0,2,2
1,1,2.0,1.0,1.0,0.0,1.0,3.0,0.0,50.0,3.0,1.0,2.0,1,0,0,2,3
1,1,2.0,1.0,1.0,0.0,1.0,3.0,0.0,65.0,3.0,1.0,13.0,0,0,1,0,1
1,1,2.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,3.0,0,0,0,1,1
1,1,2.0,1.0,1.0,0.0,2.0,1.0,0.0,35.0,3.0,1.0,0.0,3,0,0,2,5
1,1,2.0,1.0,1.0,0.0,2.0,1.0,0.0,42.0,3.0,1.0,0.0,4,0,0,1,5
1,1,2.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,6.0,1,0,0,1,2
1,1,2.0,1.0,1.0,0.0,2.0,2.0,0.0,40.0,3.0,1.0,4.0,0,0,0,1,1
1,1,2.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,3.0,0,0,0,2,2
1,1,2.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,13.0,0,0,0,1,1
1,1,2.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,3.0,3.0,16.0,0,0,1,0,1
1,1,2.0,1.0,1.0,0.0,2.0,3.0,0.0,38.0,3.0,1.0,3.0,0,0,0,1,1
1,1,2.0,1.0,1.0,0.0,2.0,3.0,0.0,50.0,3.0,1.0,16.0,0,0,0,2,2
1,1,2.0,1.0,1.0,0.0,2.0,3.0,0.0,78.0,3.0,3.0,0.0,1,0,0,0,1
1,1,2.0,1.0,1.0,0.0,2.0,3.0,0.0,78.0,3.0,3.0,13.0,0,0,1,0,1
1,1,2.0,1.0,1.0,0.0,2.0,3.0,40.0,35.0,3.0,1.0,8.0,0,0,0,1,1
1,1,2.0,1.0,1.0,0.0,3.0,1.0,0.0,0.0,3.0,1.0,0.0,2,1,0,1,4
1,1,2.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1
1,1,2.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0,0,0,1,1
1,1,2.0,1.0,2.0,0.0,0.0,0.0,0.0,72.0,0.0,1.0,0.0,0,2,0,1,3
1,1,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0,0,0,5,5
1,1,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,0.0,0,0,0,2,2
1,1,2.0,1.0,2.0,0.0,1.0,0.0,20.0,60.0,0.0,3.0,16.0,0,0,0,1,1
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9,0,1,4,14
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,3.0,1,0,1,1,3
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,8.0,0,0,0,1,1
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,13.0,0,0,1,0,1
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1,0,0,0,1
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0,0,1,0,1
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,1,0,1,0,2
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,76.0,0.0,1.0,0.0,3,0,1,0,4
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,80.0,0.0,1.0,16.0,1,0,1,0,2
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,86.0,0.0,1.0,0.0,1,0,2,0,3
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,86.0,0.0,3.0,2.0,0,0,0,1,1
1,1,2.0,1.0,2.0,0.0,1.0,1.0,0.0,87.0,3.0,1.0,0.0,3,0,0,1,4
